code,major_code,label
1,1,Macroeconomics
2,2,Civil Rights Minority Issues and Civil Liberties
3,3,Health
4,4,Agriculture
5,5,Labor and Employment
6,6,Education
7,7,Environment
8,8,Energy
9,9,Immigration
10,10,Transportation
12,12,Law Crime and Family Issues
13,13,Social Welfare
14,14,Housing and Community Development
15,15,Domestic Commerce and Banking
16,16,Defense
17,17,Technology Communications
18,18,Foreign Trade
19,19,International Affairs and Foreign Aid
20,20,Government Operations
21,21,Public Lands Water Management and Territories
23,23,Cultural Policy Issues
